Timestep,formula,C_cout,H_count,C/H,H/C
205.2094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
205.4094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
205.6094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
205.8094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
206.0094, 'C63H32', 63, 32, 1.96875, 0.5079365079365079
206.2094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
206.4094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
206.6094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
206.8094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
207.0094, 'C63H32', 63, 32, 1.96875, 0.5079365079365079
207.2094, 'C59H30', 59, 30, 1.9666666666666666, 0.5084745762711864
207.4094, 'C63H35', 63, 35, 1.8, 0.5555555555555556
207.6094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
207.8094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
208.0094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
208.2094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
208.4094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
208.6094, 'C64H32', 64, 32, 2.0, 0.5
208.8094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
209.0094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
209.2094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
209.4094, 'C60H32', 60, 32, 1.875, 0.5333333333333333
209.6094, 'C60H31', 60, 31, 1.935483870967742, 0.5166666666666667
209.8094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
210.0094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
210.2094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
210.4094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
210.6094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
210.8094, 'C60H29', 60, 29, 2.0689655172413794, 0.48333333333333334
211.0094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
211.2094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
211.4094, 'C64H34', 64, 34, 1.8823529411764706, 0.53125
