atom,type,x,y,z
H157,H,0.304132,0.992508,0.386678
H158,H,0.014644,0.992250,0.398835
C227,C,0.009676,0.989622,0.426340
C228,C,0.279833,0.988803,0.379716
H159,H,0.224150,0.862164,0.408503
H160,H,0.238890,0.916466,0.405938
C229,C,0.250204,0.991118,0.372269
H161,H,0.048562,0.708244,0.405591
C230,C,0.064189,0.704255,0.427694
C231,C,0.022917,0.562700,0.443738
C232,C,0.041448,0.566407,0.472755
H162,H,0.038282,0.548596,0.492695
C233,C,0.071498,0.587492,0.474592
C234,C,0.085325,0.591658,0.507971
C235,C,0.083827,0.598999,0.443120
C236,C,0.117405,0.598431,0.514769
H163,H,0.124955,0.600890,0.539428
C237,C,0.146114,0.605093,0.455909
C238,C,0.145878,0.597988,0.491353
H164,H,0.071154,0.588079,0.529591
C239,C,0.117287,0.609572,0.434608
C240,C,0.177722,0.592794,0.504176
H165,H,0.180636,0.590183,0.529651
C241,C,0.204684,0.581191,0.483995
C242,C,0.206726,0.589631,0.451785
H166,H,0.226706,0.570790,0.493060
H167,H,0.229874,0.586305,0.435479
C243,C,0.178767,0.605615,0.437702
H168,H,0.357443,0.560972,0.503024
C244,C,0.371312,0.512507,0.477527
H169,H,0.352986,0.505415,0.464750
C245,C,0.366312,0.538828,0.508293
C246,C,0.003417,0.981631,0.491733
C247,C,0.364389,0.525201,0.536134
H170,H,0.360873,0.516863,0.560079
H171,H,0.155096,0.792346,0.532244
H172,H,0.289370,0.518829,0.440366
C248,C,0.169791,0.813297,0.538568
C249,C,0.235422,0.963044,0.458206
H173,H,0.168812,0.792619,0.480307
C250,C,0.184269,0.813381,0.481601
C251,C,0.197366,0.827158,0.454771
C252,C,0.187484,0.829784,0.513430
H174,H,0.493230,0.724484,0.526385
H175,H,0.237257,0.974207,0.433792
C253,C,0.230627,0.934502,0.515380
H176,H,0.194666,0.819212,0.432062
C254,C,0.207156,0.871727,0.555201
H177,H,0.229811,0.981510,0.543005
C255,C,0.233740,0.982080,0.488071
C256,C,0.236233,0.926611,0.460535
C257,C,0.217972,0.855824,0.461252
C258,C,0.209645,0.858646,0.521652
H178,H,0.095667,0.698731,0.468772
C259,C,0.216645,0.874362,0.490467
C260,C,0.233820,0.907145,0.493298
C261,C,0.230941,0.967228,0.521451
C262,C,0.081061,0.701545,0.449052
H179,H,0.193036,0.543132,0.565912
C263,C,0.007246,0.985977,0.452911
C264,C,0.166982,0.827186,0.568764
H180,H,-0.001055,0.552583,0.445066
H181,H,0.012187,0.928948,0.568010
C265,C,0.232042,0.908377,0.430083
C266,C,0.147428,0.551895,0.583323
C267,C,0.116731,0.554655,0.580943
H182,H,0.090585,0.561642,0.580012
C268,C,0.179219,0.549412,0.585811
H183,H,0.196563,0.918763,0.613328
H184,H,0.192187,0.555397,0.607395
C269,C,0.434802,0.609320,0.679184
C270,C,0.459698,0.592982,0.668688
H185,H,0.431819,0.622952,0.701158
C271,C,0.472951,0.571772,0.645090
C272,C,0.411995,0.607608,0.647991
H186,H,0.395178,0.626230,0.647901
C273,C,0.412047,0.579329,0.627641
C274,C,0.439992,0.556753,0.633914
H187,H,0.392509,0.573698,0.611221
C275,C,0.435822,0.523010,0.627311
H188,H,0.128983,0.698419,0.574876
C276,C,0.486717,0.509768,0.651815
H189,H,0.411036,0.515560,0.613678
C277,C,0.135477,0.721499,0.586387
C278,C,0.115143,0.751534,0.585505
H190,H,0.091117,0.749003,0.577865
C279,C,0.154390,0.780981,0.625586
C280,C,0.123933,0.778722,0.605844
C281,C,0.161556,0.810810,0.643041
H191,H,0.108337,0.798493,0.607313
H192,H,0.141611,0.826855,0.647676
H193,H,0.150754,0.818541,0.587417
C282,C,0.166917,0.723682,0.599210
C283,C,0.178640,0.753906,0.618488
C284,C,0.191763,0.698253,0.588320
C285,C,0.195363,0.817121,0.648452
C286,C,0.223555,0.701129,0.597890
C287,C,0.212324,0.758857,0.623913
C288,C,0.234779,0.732920,0.615986
C289,C,0.218253,0.791617,0.640375
H194,H,0.256525,0.821296,0.657170
H195,H,0.285838,0.722375,0.634185
C290,C,0.266080,0.739550,0.632228
C291,C,0.250705,0.797093,0.650429
C292,C,0.273438,0.771355,0.644297
C293,C,0.310847,0.778922,0.655806
H196,H,0.181695,0.676901,0.571228
H197,H,0.241545,0.683640,0.591311
C294,C,0.337405,0.782757,0.662057
H198,H,0.361432,0.787135,0.667630
C295,C,0.156977,0.931632,0.687295
C296,C,0.113383,0.969531,0.610546
C297,C,0.095330,0.990352,0.587701
H199,H,0.042806,0.973420,0.603022
C298,C,0.058646,0.990149,0.589950
H200,H,0.104113,0.951734,0.626645
C299,C,0.145323,0.977416,0.613221
H201,H,0.487226,0.705847,0.575763
C300,C,0.181655,0.935307,0.674130
C301,C,0.217539,0.923429,0.601197
H202,H,0.204226,0.941724,0.664994
C302,C,0.186571,0.855515,0.580988
H203,H,0.202835,0.835715,0.663285
C303,C,0.129412,0.930232,0.710856
H204,H,0.261140,0.946133,0.582394
H205,H,0.158708,0.963352,0.629487
H206,H,0.191301,0.862331,0.606069
C304,C,0.496229,0.543809,0.644662
C305,C,0.240381,0.933346,0.590164
C306,C,0.426002,0.820290,0.837424
H207,H,0.401349,0.818157,0.830892
C307,C,0.493156,0.819781,0.851734
H208,H,0.426487,0.771671,0.854383
C308,C,0.441271,0.793182,0.850388
C309,C,0.475791,0.788928,0.857202
C310,C,0.496590,0.878862,0.829677
H209,H,0.089917,0.917088,0.746156
C311,C,0.109955,0.923393,0.729380
H210,H,0.434546,0.925229,0.800283
C312,C,0.445881,0.906608,0.809663
C313,C,0.489124,0.962711,0.791610
C314,C,0.482103,0.904867,0.810894
C315,C,0.477401,0.848596,0.836988
H211,H,0.400353,0.882026,0.813730
H212,H,0.466200,0.959012,0.780133
C316,C,0.425793,0.878444,0.816678
C317,C,0.442003,0.849833,0.828463
H213,H,0.347659,0.878396,0.857065
C318,C,0.091827,0.501259,0.931877
H214,H,0.044217,0.501155,0.906891
H215,H,0.087708,0.516423,0.948801
H216,H,0.098618,0.582291,0.980284
C319,C,0.095366,0.607904,0.985913
C320,C,0.116189,0.628061,0.978591
C321,C,0.138655,0.648161,0.969054
H217,H,0.157416,0.664937,0.965892
H218,H,0.234982,0.633690,0.958261
C322,C,0.218881,0.623601,0.974953
H219,H,0.290733,0.759264,0.950215
C323,C,0.346636,0.901333,1.000020
C324,C,0.313777,0.799041,0.991546
C325,C,0.315404,0.751617,0.953821
C326,C,0.332522,0.773546,0.975787
H220,H,0.322188,0.721116,0.910256
C327,C,0.333544,0.735019,0.930237
H221,H,0.384445,0.717175,0.911863
C328,C,0.369104,0.732025,0.930268
C329,C,0.369186,0.770695,0.976511
C330,C,0.385022,0.743589,0.959554
C331,C,0.166231,0.991401,0.958692
C332,C,0.419888,0.734895,0.964672
H222,H,0.431927,0.712189,0.955975
C333,C,0.436239,0.758144,0.985155
H223,H,0.457359,0.750267,0.995338
C334,C,0.466226,0.871898,0.985292
C335,C,0.170389,0.984000,0.993016
C336,C,0.035990,0.948084,0.952274
O3,O,0.041122,0.963380,0.920666
C337,C,0.030986,0.935841,0.980715
C338,C,0.385831,0.792684,0.998662
C339,C,0.175054,0.931654,0.942516
H224,H,0.053804,0.951269,0.903459
C340,C,0.168879,0.973953,0.899952
H225,H,0.177030,0.957603,0.882571
H226,H,0.175158,0.911762,0.925903
C341,C,0.170466,0.966193,0.934297
H227,H,0.186772,0.899698,0.983372
C342,C,0.179694,0.924559,0.974543
C343,C,0.329605,0.876916,0.939575
C344,C,0.312782,0.891166,0.993707
H228,H,0.301061,0.875862,0.895415
H229,H,0.277511,0.870171,0.960546
C345,C,0.301847,0.877236,0.964460
C346,C,0.362950,0.869132,0.949726
C347,C,0.448531,0.857937,0.956690
H230,H,0.401798,0.878752,0.873520
C348,C,0.352350,0.877129,0.881205
C349,C,0.385384,0.874699,0.891763
C350,C,0.369473,0.881757,0.981917
