x,y,z
0.541355,0.425862,0.495067
0.564862,0.415301,0.491742
0.588157,0.402543,0.486177
0.509122,0.229878,0.510206
0.505708,0.452457,0.529091
0.763243,0.116499,0.559982
0.668401,0.480817,0.543995
0.777500,0.135888,0.570344
0.685870,0.482609,0.565951
0.613372,0.380646,0.572759
0.607730,0.149677,0.652261
0.558613,0.057060,0.686923
0.559496,0.029472,0.690154
0.615598,0.137893,0.587199
0.563339,0.003097,0.693570
0.617370,0.161809,0.583817
0.701341,0.005404,0.671394
0.691995,0.031521,0.655374
0.686100,0.056874,0.635212
0.680739,0.083254,0.619591
0.675281,0.107542,0.610115
0.694134,0.208233,0.630368
0.503465,0.459133,0.705098
0.544369,0.207735,0.692875
0.874997,0.095760,0.613974
0.899496,0.089160,0.622941
0.856813,0.105332,0.601454
0.936130,0.085264,0.635923
0.959103,0.070663,0.640353
0.981628,0.059507,0.645943
0.614365,0.173861,0.646371
0.613025,0.194954,0.695508
0.619706,0.183814,0.613716
0.615900,0.199463,0.669596
0.633419,0.215711,0.608843
0.616195,0.233222,0.659996
0.606098,0.250573,0.675499
0.640764,0.322177,0.586376
0.634341,0.242743,0.631773
0.635068,0.262684,0.578938
0.644162,0.313109,0.640888
0.635852,0.273653,0.611082
0.640706,0.305814,0.617598
0.659739,0.259578,0.684925
0.627262,0.337779,0.713103
0.634668,0.230078,0.576059
0.719136,0.490950,0.606175
0.732512,0.205133,0.698295
0.721342,0.202843,0.674577
0.705848,0.207007,0.652857
0.795064,0.153943,0.579411
0.817730,0.180556,0.594803
0.849819,0.215180,0.615328
0.835711,0.198705,0.604442
0.956645,0.268754,0.590092
0.849195,0.320088,0.666662
0.861308,0.317103,0.689960
0.701908,0.484445,0.587560
0.671499,0.265656,0.706417
0.616727,0.403546,0.582614
0.541240,0.494171,0.667586
0.558224,0.478527,0.679055
0.614926,0.425752,0.597823
0.511269,0.483360,0.652091
0.649949,0.348688,0.588834
0.545012,0.424696,0.669588
0.569293,0.381802,0.685869
0.581671,0.386626,0.662960
0.615110,0.459779,0.614722
0.543238,0.405821,0.687032
0.611754,0.485200,0.624080
0.503719,0.458397,0.653131
0.554820,0.230186,0.699976
0.518472,0.409316,0.712441
0.574722,0.356681,0.712109
0.556035,0.012654,0.808264
0.529436,0.242923,0.782396
0.537290,0.163463,0.771362
0.538989,0.137264,0.778460
0.538732,0.112255,0.781330
0.502879,0.440026,0.721381
0.530582,0.185661,0.763521
0.504017,0.363270,0.834424
0.570336,0.315077,0.811234
0.969195,0.027245,0.805572
0.972468,0.001987,0.802476
0.543259,0.243873,0.730830
0.532886,0.256662,0.760269
0.603992,0.339580,0.725637
0.577083,0.329757,0.780855
0.605022,0.325182,0.758180
0.627698,0.313708,0.765469
0.524002,0.362150,0.788331
0.544110,0.325893,0.832274
0.583625,0.296282,0.817892
0.523406,0.352302,0.820978
0.543603,0.312803,0.856031
0.509577,0.387595,0.767478
0.717498,0.308046,0.802684
0.701394,0.279880,0.760575
0.686903,0.267622,0.729420
0.708851,0.294107,0.783279
0.550441,0.362418,0.736300
0.549989,0.349707,0.768238
0.524800,0.385016,0.735461
0.870362,0.307058,0.739453
0.507872,0.283193,0.750517
0.866884,0.312951,0.715605
0.515601,0.070375,0.975054
0.532517,0.021707,0.949771
0.551337,0.015610,0.983111
0.520095,0.052836,0.944028
0.623789,0.168597,0.977957
0.551186,0.100024,1.004330
0.524366,0.007559,0.901295
0.547969,0.077785,0.991606
0.511847,0.058929,0.921163
0.565909,0.045607,0.996418
0.809913,0.021476,0.955932
0.839427,0.093007,0.958025
0.821227,0.044230,0.956043
0.831448,0.068963,0.956353
0.643642,0.185902,0.977249
0.608307,0.448914,0.999657
0.602125,0.263252,0.913791
0.613605,0.270454,0.890012
0.589086,0.256400,0.936593
0.626042,0.277345,0.868168
0.648009,0.201215,0.949351
0.654248,0.217666,0.924261
0.660365,0.229433,0.903238
0.779720,0.193588,0.981668
0.641510,0.388333,0.902405
0.584178,0.466114,0.986501
0.563143,0.488476,0.975697
0.539631,0.484251,0.967888
0.665009,0.346015,0.881691
0.651412,0.368819,0.888964
0.677454,0.325482,0.873798
0.765322,0.176288,0.997557
0.659916,0.188866,0.998139
0.685434,0.616756,0.031805
0.866686,0.754904,0.000614
0.848272,0.737154,0.009335
0.829773,0.721902,0.018220
0.987094,0.852463,0.062421
0.560460,0.885193,0.007721
0.607663,0.887141,0.036929
0.629995,0.928194,0.060605
0.627047,0.965792,0.060159
0.610502,0.913778,0.037401
0.643015,0.914862,0.078502
0.605380,0.974904,0.037546
0.587523,0.932081,0.016702
0.585096,0.969919,0.013128
0.641559,0.983671,0.076667
0.933837,0.906915,0.015839
0.971148,0.868968,0.051045
0.744771,0.901960,0.124226
0.766404,0.905358,0.140227
0.725671,0.897368,0.107577
0.954410,0.887110,0.039625
0.690347,0.613579,0.005168
0.561992,0.911305,0.003694
0.525893,0.589922,0.204841
0.505303,0.604167,0.192559
0.540435,0.571484,0.216896
0.901430,0.908050,0.244548
0.916468,0.907921,0.267344
0.735469,0.510613,0.279591
0.790863,0.901933,0.147015
0.840866,0.982610,0.253890
0.632890,0.561043,0.302732
0.656872,0.552677,0.300890
