Timestep	No_Moles	No_Specs
300.8027	220	29
301.0027	191	29
301.2027	199	29
301.4027	215	25
301.6027	217	27
301.8027	203	26
302.0027	215	25
302.2027	204	28
302.4027	211	26
302.6027	223	27
302.8027	200	24
303.0027	202	23
303.2027	197	27
303.4027	193	25
303.6027	216	26
303.8027	211	28
304.0027	217	25
304.2027	203	24
304.4027	212	29
304.6027	198	25
304.8027	204	26
305.0027	210	27
305.2027	196	24
305.4027	201	26
305.6027	209	24
305.8027	197	27
306.0027	212	25
306.2027	197	26
306.4027	222	26
306.6027	213	28
306.8027	213	27
307.0027	218	27
307.2027	194	24
307.4027	202	25
307.6027	211	26
307.8027	207	27
308.0027	206	27
308.2027	206	25
308.4027	199	24
308.6027	213	29
308.8027	202	28
309.0027	202	25
309.2027	209	28
309.4027	215	28
309.6027	199	25
309.8027	195	27
310.0027	205	26
310.2027	223	30
310.4027	212	24
310.6027	202	23
310.8027	206	23
311.0027	208	26
311.2027	205	26
311.4027	194	22
311.6027	206	27
311.8027	216	28
312.0027	217	27
312.2027	196	24
312.4027	210	24
312.6027	219	26
312.8027	212	26
313.0027	206	29
313.2027	219	27
313.4027	214	28
313.6027	205	23
313.8027	208	27
314.0027	221	26
314.2027	208	25
314.4027	228	29
314.6027	204	26
314.8027	215	24
315.0027	216	28
315.2027	208	27
315.4027	203	25
315.6027	221	28
315.8027	211	22
316.0027	204	26
316.2027	208	25
316.4027	226	26
316.6027	204	27
316.8027	224	29
317.0027	212	22
317.2027	193	28
317.4027	200	27
317.6027	210	29
317.8027	217	33
318.0027	209	25
318.2027	199	28
318.4027	207	25
318.6027	210	25
318.8027	213	28
319.0027	205	24
319.2027	223	28
319.4027	203	26
319.6027	213	29
319.8027	229	30
320.0027	216	26
320.2027	220	28
320.4027	212	27
320.6027	219	26
320.8027	225	27
321.0027	206	25
321.2027	220	28
321.4027	210	24
321.6027	209	26
321.8027	226	22
322.0027	225	26
322.2027	233	27
322.4027	228	28
322.6027	217	26
322.8027	214	27
323.0027	207	25
323.2027	225	29
323.4027	222	25
323.6027	213	26
323.8027	210	26
324.0027	210	25
324.2027	217	24
324.4027	216	27
324.6027	210	25
324.8027	226	27
325.0027	231	32
325.2027	216	24
325.4027	220	25
325.6027	227	26
325.8027	212	26
326.0027	219	25
326.2027	217	26
326.4027	225	26
326.6027	224	30
326.8027	229	27
327.0027	218	28
327.2027	205	27
327.4027	198	25
327.6027	215	26
327.8027	236	26
328.0027	226	24
328.2027	216	25
328.4027	232	26
328.6027	208	26
328.8027	215	25
329.0027	218	26
329.2027	195	22
329.4027	233	23
329.6027	203	25
329.8027	203	24
330.0027	212	23
330.2027	227	27
330.4027	206	27
330.6027	227	26
330.8027	199	23
331.0027	203	24
331.2027	194	22
331.4027	206	22
331.6027	196	25
331.8027	229	24
332.0027	220	25
332.2027	207	26
332.4027	222	25
332.6027	226	26
332.8027	223	26
333.0027	215	30
333.2027	212	25
333.4027	213	26
333.6027	205	27
333.8027	222	28
334.0027	213	27
334.2027	226	26
334.4027	212	28
334.6027	205	27
334.8027	228	26
335.0027	222	27
335.2027	217	30
335.4027	222	28
335.6027	218	27
335.8027	213	27
336.0027	199	25
336.2027	235	28
336.4027	204	27
336.6027	223	30
336.8027	219	27
337.0027	216	28
337.2027	215	28
337.4027	203	24
337.6027	202	25
337.8027	225	26
338.0027	201	26
338.2027	197	24
338.4027	229	26
338.6027	205	28
338.8027	217	28
339.0027	215	24
339.2027	207	26
